incident_id,year,incident_type
4163,2024,Disruption
4163,2024,Hijacking with Misuse
4161,2024,Data theft
4161,2024,Hijacking with Misuse
4160,2023,Data theft
4160,2023,Hijacking with Misuse
4159,2024,Data theft
4159,2024,Hijacking with Misuse
4158,2024,Data theft & Doxing
4158,2024,Hijacking with Misuse
4157,2024,Disruption
4157,2024,Hijacking with Misuse
4156,2024,Data theft
4156,2024,Hijacking with Misuse
4156,2024,Ransomware
4155,2024,Disruption
4154,2024,Data theft
4154,2024,Disruption
4154,2024,Hijacking with Misuse
4153,2024,Data theft & Doxing
4153,2024,Hijacking with Misuse
4152,2024,Hijacking without Misuse
4151,2024,Data theft
4151,2024,Hijacking with Misuse
4150,2024,Data theft
4150,2024,Disruption
4150,2024,Hijacking with Misuse
4150,2024,Ransomware
4149,2024,Data theft & Doxing
4149,2024,Ransomware
4148,2024,Data theft
4148,2024,Hijacking with Misuse
4147,2024,Data theft
4147,2024,Hijacking with Misuse
4146,2024,Data theft
4146,2024,Hijacking with Misuse
4145,2024,Data theft
4145,2024,Hijacking with Misuse
4144,2024,Data theft
4144,2024,Hijacking with Misuse
4143,2024,Data theft
4143,2024,Disruption
4142,2024,Data theft
4142,2024,Hijacking with Misuse
4142,2024,Ransomware
4141,2024,Data theft
4141,2024,Hijacking with Misuse
4141,2024,Ransomware
4140,2024,Data theft
4140,2024,Hijacking with Misuse
4140,2024,Ransomware
4138,2024,Data theft & Doxing
4138,2024,Hijacking with Misuse
4138,2024,Ransomware
4136,2023,Data theft
4136,2023,Hijacking with Misuse
4135,2023,Hijacking without Misuse
4134,2024,Data theft
4134,2024,Hijacking with Misuse
4132,2024,Disruption
4132,2024,Hijacking with Misuse
4130,2024,Data theft
4130,2024,Hijacking with Misuse
4129,2023,Hijacking with Misuse
4128,2024,Hijacking without Misuse
4127,2024,Data theft
4127,2024,Hijacking with Misuse
4125,2024,Hijacking with Misuse
4124,2024,Data theft
4124,2024,Hijacking with Misuse
4124,2024,Ransomware
4121,2024,Data theft
4121,2024,Hijacking with Misuse
4121,2024,Ransomware
4120,2024,Disruption
4120,2024,Hijacking with Misuse
4120,2024,Ransomware
4118,2024,Disruption
4117,2024,Disruption
4116,2024,Data theft
4116,2024,Hijacking with Misuse
4115,2024,Data theft
4115,2024,Hijacking with Misuse
4115,2024,Ransomware
4114,2024,Disruption
4114,2024,Hijacking with Misuse
4113,2024,Disruption
4113,2024,Hijacking with Misuse
4113,2024,Ransomware
