incident_id,year,receiver_category
4163,2024,State institutions / political system
4161,2024,Critical infrastructure
4161,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4161,2024,Critical infrastructure
4161,2024,Critical infrastructure
4161,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4161,2024,Critical infrastructure
4161,2024,Critical infrastructure
4161,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4161,2024,Critical infrastructure
4160,2023,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4159,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4159,2024,Critical infrastructure
4158,2024,State institutions / political system
4157,2024,Critical infrastructure
4156,2024,Critical infrastructure
4155,2024,Critical infrastructure
4155,2024,Critical infrastructure
4155,2024,Critical infrastructure
4155,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4155,2024,Critical infrastructure
4154,2024,Critical infrastructure
4154,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4153,2024,State institutions / political system
4152,2024,Critical infrastructure
4152,2024,Critical infrastructure
4151,2024,Critical infrastructure
4150,2024,State institutions / political system
4150,2024,Critical infrastructure
4150,2024,Education
4150,2024,State institutions / political system
4150,2024,Critical infrastructure
4150,2024,Education
4149,2024,Critical infrastructure
4148,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4148,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4148,2024,Social groups
4148,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4148,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4147,2024,Critical infrastructure
4146,2024,Social groups
4146,2024,Social groups
4145,2024,Social groups
4144,2024,Media
4143,2024,Critical infrastructure
4142,2024,State institutions / political system
4141,2024,State institutions / political system
4140,2024,Critical infrastructure
4138,2024,Critical infrastructure
4136,2023,State institutions / political system
4136,2023,Critical infrastructure
4136,2023,Critical infrastructure
4136,2023,Education
4135,2023,Critical infrastructure
4135,2023,Critical infrastructure
4134,2024,Critical infrastructure
4132,2024,Critical infrastructure
4130,2024,Education
4130,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4130,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4130,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4130,2024,Critical infrastructure
4130,2024,State institutions / political system
4130,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4130,2024,State institutions / political system
4130,2024,State institutions / political system
4130,2024,Critical infrastructure
4130,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4130,2024,Critical infrastructure
4130,2024,State institutions / political system
4130,2024,Critical infrastructure
4130,2024,Critical infrastructure
4130,2024,Critical infrastructure
4130,2024,Critical infrastructure
4130,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4130,2024,Critical infrastructure
4129,2023,State institutions / political system
4128,2024,State institutions / political system
4127,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4127,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4127,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4127,2024,Critical infrastructure
4127,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4127,2024,Critical infrastructure
4125,2024,Critical infrastructure
4124,2024,Critical infrastructure
4121,2024,Critical infrastructure
4120,2024,Critical infrastructure
4118,2024,Critical infrastructure
4117,2024,State institutions / political system
4116,2024,Critical infrastructure
4115,2024,Critical infrastructure
4114,2024,State institutions / political system
4113,2024,Critical infrastructure
4111,2024,Critical infrastructure
4110,2024,State institutions / political system
4110,2024,Education
4108,2024,Critical infrastructure
4107,2022,State institutions / political system
4106,2022,State institutions / political system
4106,2022,Social groups
4105,2024,Critical infrastructure
4105,2024,Social groups
4103,2024,Critical infrastructure
4103,2024,Critical infrastructure
4103,2024,Critical infrastructure
4101,2024,Critical infrastructure
4100,2024,Critical infrastructure
4099,2024,State institutions / political system
4098,2024,Critical infrastructure
4097,2024,Critical infrastructure
4095,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4093,2024,State institutions / political system
4092,2024,State institutions / political system
4092,2024,Critical infrastructure
4091,2024,Critical infrastructure
4090,2024,State institutions / political system
4087,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4087,2024,State institutions / political system
4087,2024,State institutions / political system
4087,2024,Social groups
4087,2024,Education
4087,2024,State institutions / political system
4087,2024,Social groups
4087,2024,Education
4087,2024,State institutions / political system
4087,2024,Social groups
4087,2024,Education
4087,2024,State institutions / political system
4087,2024,Social groups
4087,2024,Education
4087,2024,State institutions / political system
4087,2024,Social groups
4087,2024,Education
4087,2024,State institutions / political system
4087,2024,Social groups
4087,2024,Education
4087,2024,State institutions / political system
4087,2024,Social groups
4087,2024,Education
4087,2024,State institutions / political system
4087,2024,Social groups
4087,2024,Education
4087,2024,State institutions / political system
4087,2024,Social groups
4087,2024,Education
4087,2024,State institutions / political system
4087,2024,Social groups
4087,2024,Education
4087,2024,State institutions / political system
4087,2024,Social groups
4087,2024,Education
4087,2024,State institutions / political system
4087,2024,Critical infrastructure
4087,2024,Social groups
4087,2024,Education
4086,2024,State institutions / political system
4086,2024,State institutions / political system
4084,2024,State institutions / political system
4083,2024,State institutions / political system
4083,2024,Critical infrastructure
4082,2024,Critical infrastructure
4081,2024,Critical infrastructure
4081,2024,Critical infrastructure
4080,2022,Unknown
4079,2024,Critical infrastructure
4076,2024,State institutions / political system
4076,2024,Critical infrastructure
4076,2024,State institutions / political system
4076,2024,State institutions / political system
4075,2024,Critical infrastructure
4074,2024,State institutions / political system
4074,2024,State institutions / political system
4073,2024,State institutions / political system
4073,2024,State institutions / political system
4073,2024,State institutions / political system
4072,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4071,2024,State institutions / political system
4069,2024,Critical infrastructure
4069,2024,Unknown
4064,2024,State institutions / political system
4063,2024,Critical infrastructure
4063,2024,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)
4061,2024,Critical infrastructure
4057,2024,Critical infrastructure
4057,2024,Critical infrastructure
4057,2024,Education
4056,2024,State institutions / political system
4055,2024,State institutions / political system
4054,2024,Critical infrastructure
4053,2024,Critical infrastructure
4052,2024,Critical infrastructure
4051,2024,Critical infrastructure
4050,2024,State institutions / political system
4049,2024,Critical infrastructure
4048,2024,Media
4045,2024,Critical infrastructure
4043,2024,Critical infrastructure
4039,2024,State institutions / political system
4038,2024,State institutions / political system
4037,2024,State institutions / political system
4033,2024,Media
4033,2024,Education
4029,2024,State institutions / political system
4026,2024,Critical infrastructure
4026,2024,Critical infrastructure
